seqnames	start	end	width	strand	tx_id	tx_biotype	tx_cds_seq_start	tx_cds_seq_end	gene_id	tx_support_level	tx_id_version	gc_content	tx_external_name	tx_is_canonical	tx_name
17	40058290	40076912	18623	+	ENST00000577288	protein_coding	40074489	40076912	ENSG00000126351	4	ENST00000577288.5	60.7573149741824	THRA-205	0	ENST00000577288
17	40061904	40077604	15701	+	ENST00000585047	protein_coding	40074489	40077604	ENSG00000126351	4	ENST00000585047.5	59.581881533101	THRA-210	0	ENST00000585047
17	40062193	40083866	21674	+	ENST00000578218	protein_coding	40074489	40083866	ENSG00000126351	4	ENST00000578218.5	56.4498346196251	THRA-208	0	ENST00000578218
17	40062193	40093613	31421	+	ENST00000394121	protein_coding	40074489	40093382	ENSG00000126351	2	ENST00000394121.8	58.9380530973451	THRA-202	0	ENST00000394121
17	40062810	40093867	31058	+	ENST00000264637	protein_coding	40074489	40093382	ENSG00000126351	1	ENST00000264637.8	61.4657210401891	THRA-201	0	ENST00000264637
17	40062810	40093867	31058	+	ENST00000584985	protein_coding	40074489	40093382	ENSG00000126351	1	ENST00000584985.5	61.4622057001239	THRA-209	0	ENST00000584985
17	40062965	40093002	30038	+	ENST00000450525	protein_coding	40074489	40089456	ENSG00000126351	1	ENST00000450525.7	59.1468101460415	THRA-203	1	ENST00000450525
17	40068903	40089730	20828	+	ENST00000546243	protein_coding	40074489	40089456	ENSG00000126351	2	ENST00000546243.5	59.5075955997905	THRA-204	0	ENST00000546243
17	40072091	40077558	5468	+	ENST00000577486	protein_coding	40074489	40077558	ENSG00000126351	4	ENST00000577486.1	60.0355239786856	THRA-206	0	ENST00000577486
17	40084434	40087001	2568	+	ENST00000577637	retained_intron	NA	NA	ENSG00000126351	2	ENST00000577637.1	55.096011816839	THRA-207	0	ENST00000577637
